----------
(53, 24)
(52, 24)
(51, 24)
(50, 24)
(49, 24)
(48, 24)
(47, 24)
(46, 24)
(45, 24)
(44, 24)
(43, 24)
(42, 24)
(41, 24)
(40, 24)
(39, 24)
(38, 24)
(37, 24)
(36, 24)
(36, 25)
(35, 25)
(34, 25)
(33, 25)
(33, 26)
(33, 27)
(32, 27)
(31, 27)
(30, 27)
(29, 27)
(28, 27)
(27, 27)
(26, 27)
(25, 27)
(24, 27)
(23, 27)
(22, 27)
(21, 27)
(20, 27)
(19, 27)
(18, 27)
(17, 27)
(16, 27)
(15, 27)
(14, 27)
(13, 27)
(12, 27)
(11, 27)
(10, 27)
(9, 27)
(9, 28)
(10, 28)
(10, 29)
(11, 29)
(11, 30)
(11, 31)
(10, 31)
(9, 31)
(8, 31)
(7, 31)
(6, 31)
(6, 32)
(5, 32)
(5, 33)
(4, 33)
(4, 34)
(3, 34)
(3, 35)

